EventName,EventAlias,EventType,Unit,Topic,Encoding,ScaleUnit,BriefDescription,PublicDescription
unc_m_rd_cas_rank4.bankg1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb4,umask=0x12/",,RD_CAS Access to Rank 4; Bank Group 1 (Banks 4-7). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 1 (Banks 4-7)
unc_m_rd_cas_rank4.bankg2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb4,umask=0x13/",,RD_CAS Access to Rank 4; Bank Group 2 (Banks 8-11). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 2 (Banks 8-11)
unc_m_rd_cas_rank4.bankg3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb4,umask=0x14/",,RD_CAS Access to Rank 4; Bank Group 3 (Banks 12-15). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 3 (Banks 12-15)
unc_m_rd_cas_rank5.allbanks,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x10/",,RD_CAS Access to Rank 5; All Banks. Unit: uncore_imc ,RD_CAS Access to Rank 0 : All Banks
unc_m_rd_cas_rank5.bank0,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0xb5/,,RD_CAS Access to Rank 5; Bank 0. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 0
unc_m_rd_cas_rank5.bank1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x1/",,RD_CAS Access to Rank 5; Bank 1. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 1
unc_m_rd_cas_rank5.bank10,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0xa/",,RD_CAS Access to Rank 5; Bank 10. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 10
unc_m_rd_cas_rank5.bank11,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0xb/",,RD_CAS Access to Rank 5; Bank 11. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 11
unc_m_rd_cas_rank5.bank12,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0xc/",,RD_CAS Access to Rank 5; Bank 12. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 12
unc_m_rd_cas_rank5.bank13,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0xd/",,RD_CAS Access to Rank 5; Bank 13. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 13
unc_m_rd_cas_rank5.bank14,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0xe/",,RD_CAS Access to Rank 5; Bank 14. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 14
unc_m_rd_cas_rank5.bank15,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0xf/",,RD_CAS Access to Rank 5; Bank 15. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 15
unc_m_rd_cas_rank5.bank2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x2/",,RD_CAS Access to Rank 5; Bank 2. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 2
unc_m_rd_cas_rank5.bank3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x3/",,RD_CAS Access to Rank 5; Bank 3. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 3
unc_m_rd_cas_rank5.bank4,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x4/",,RD_CAS Access to Rank 5; Bank 4. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 4
unc_m_rd_cas_rank5.bank5,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x5/",,RD_CAS Access to Rank 5; Bank 5. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 5
unc_m_rd_cas_rank5.bank6,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x6/",,RD_CAS Access to Rank 5; Bank 6. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 6
unc_m_rd_cas_rank5.bank7,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x7/",,RD_CAS Access to Rank 5; Bank 7. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 7
unc_m_rd_cas_rank5.bank8,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x8/",,RD_CAS Access to Rank 5; Bank 8. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 8
unc_m_rd_cas_rank5.bank9,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x9/",,RD_CAS Access to Rank 5; Bank 9. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 9
unc_m_rd_cas_rank5.bankg0,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x11/",,RD_CAS Access to Rank 5; Bank Group 0 (Banks 0-3). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 0 (Banks 0-3)
unc_m_rd_cas_rank5.bankg1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x12/",,RD_CAS Access to Rank 5; Bank Group 1 (Banks 4-7). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 1 (Banks 4-7)
unc_m_rd_cas_rank5.bankg2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x13/",,RD_CAS Access to Rank 5; Bank Group 2 (Banks 8-11). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 2 (Banks 8-11)
unc_m_rd_cas_rank5.bankg3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb5,umask=0x14/",,RD_CAS Access to Rank 5; Bank Group 3 (Banks 12-15). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 3 (Banks 12-15)
unc_m_rd_cas_rank6.allbanks,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x10/",,RD_CAS Access to Rank 6; All Banks. Unit: uncore_imc ,RD_CAS Access to Rank 0 : All Banks
unc_m_rd_cas_rank6.bank0,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0xb6/,,RD_CAS Access to Rank 6; Bank 0. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 0
unc_m_rd_cas_rank6.bank1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x1/",,RD_CAS Access to Rank 6; Bank 1. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 1
unc_m_rd_cas_rank6.bank10,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0xa/",,RD_CAS Access to Rank 6; Bank 10. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 10
unc_m_rd_cas_rank6.bank11,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0xb/",,RD_CAS Access to Rank 6; Bank 11. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 11
unc_m_rd_cas_rank6.bank12,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0xc/",,RD_CAS Access to Rank 6; Bank 12. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 12
unc_m_rd_cas_rank6.bank13,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0xd/",,RD_CAS Access to Rank 6; Bank 13. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 13
unc_m_rd_cas_rank6.bank14,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0xe/",,RD_CAS Access to Rank 6; Bank 14. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 14
unc_m_rd_cas_rank6.bank15,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0xf/",,RD_CAS Access to Rank 6; Bank 15. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 15
unc_m_rd_cas_rank6.bank2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x2/",,RD_CAS Access to Rank 6; Bank 2. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 2
unc_m_rd_cas_rank6.bank3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x3/",,RD_CAS Access to Rank 6; Bank 3. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 3
unc_m_rd_cas_rank6.bank4,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x4/",,RD_CAS Access to Rank 6; Bank 4. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 4
unc_m_rd_cas_rank6.bank5,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x5/",,RD_CAS Access to Rank 6; Bank 5. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 5
unc_m_rd_cas_rank6.bank6,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x6/",,RD_CAS Access to Rank 6; Bank 6. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 6
unc_m_rd_cas_rank6.bank7,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x7/",,RD_CAS Access to Rank 6; Bank 7. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 7
unc_m_rd_cas_rank6.bank8,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x8/",,RD_CAS Access to Rank 6; Bank 8. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 8
unc_m_rd_cas_rank6.bank9,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x9/",,RD_CAS Access to Rank 6; Bank 9. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 9
unc_m_rd_cas_rank6.bankg0,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x11/",,RD_CAS Access to Rank 6; Bank Group 0 (Banks 0-3). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 0 (Banks 0-3)
unc_m_rd_cas_rank6.bankg1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x12/",,RD_CAS Access to Rank 6; Bank Group 1 (Banks 4-7). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 1 (Banks 4-7)
unc_m_rd_cas_rank6.bankg2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x13/",,RD_CAS Access to Rank 6; Bank Group 2 (Banks 8-11). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 2 (Banks 8-11)
unc_m_rd_cas_rank6.bankg3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb6,umask=0x14/",,RD_CAS Access to Rank 6; Bank Group 3 (Banks 12-15). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 3 (Banks 12-15)
unc_m_rd_cas_rank7.allbanks,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x10/",,RD_CAS Access to Rank 7; All Banks. Unit: uncore_imc ,RD_CAS Access to Rank 0 : All Banks
unc_m_rd_cas_rank7.bank0,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0xb7/,,RD_CAS Access to Rank 7; Bank 0. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 0
unc_m_rd_cas_rank7.bank1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x1/",,RD_CAS Access to Rank 7; Bank 1. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 1
unc_m_rd_cas_rank7.bank10,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0xa/",,RD_CAS Access to Rank 7; Bank 10. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 10
unc_m_rd_cas_rank7.bank11,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0xb/",,RD_CAS Access to Rank 7; Bank 11. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 11
unc_m_rd_cas_rank7.bank12,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0xc/",,RD_CAS Access to Rank 7; Bank 12. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 12
unc_m_rd_cas_rank7.bank13,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0xd/",,RD_CAS Access to Rank 7; Bank 13. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 13
unc_m_rd_cas_rank7.bank14,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0xe/",,RD_CAS Access to Rank 7; Bank 14. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 14
unc_m_rd_cas_rank7.bank15,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0xf/",,RD_CAS Access to Rank 7; Bank 15. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 15
unc_m_rd_cas_rank7.bank2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x2/",,RD_CAS Access to Rank 7; Bank 2. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 2
unc_m_rd_cas_rank7.bank3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x3/",,RD_CAS Access to Rank 7; Bank 3. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 3
unc_m_rd_cas_rank7.bank4,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x4/",,RD_CAS Access to Rank 7; Bank 4. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 4
unc_m_rd_cas_rank7.bank5,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x5/",,RD_CAS Access to Rank 7; Bank 5. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 5
unc_m_rd_cas_rank7.bank6,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x6/",,RD_CAS Access to Rank 7; Bank 6. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 6
unc_m_rd_cas_rank7.bank7,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x7/",,RD_CAS Access to Rank 7; Bank 7. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 7
unc_m_rd_cas_rank7.bank8,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x8/",,RD_CAS Access to Rank 7; Bank 8. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 8
unc_m_rd_cas_rank7.bank9,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x9/",,RD_CAS Access to Rank 7; Bank 9. Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank 9
unc_m_rd_cas_rank7.bankg0,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x11/",,RD_CAS Access to Rank 7; Bank Group 0 (Banks 0-3). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 0 (Banks 0-3)
unc_m_rd_cas_rank7.bankg1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x12/",,RD_CAS Access to Rank 7; Bank Group 1 (Banks 4-7). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 1 (Banks 4-7)
unc_m_rd_cas_rank7.bankg2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x13/",,RD_CAS Access to Rank 7; Bank Group 2 (Banks 8-11). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 2 (Banks 8-11)
unc_m_rd_cas_rank7.bankg3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb7,umask=0x14/",,RD_CAS Access to Rank 7; Bank Group 3 (Banks 12-15). Unit: uncore_imc ,RD_CAS Access to Rank 0 : Bank Group 3 (Banks 12-15)
unc_m_rpq_cycles_ne,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x11/,,Read Pending Queue Not Empty. Unit: uncore_imc ,"Counts the number of cycles that the Read Pending Queue is not empty.  This can then be used to calculate the average occupancy (in conjunction with the Read Pending Queue Occupancy count).  The RPQ is used to schedule reads out to the memory controller and to track the requests.  Requests allocate into the RPQ soon after they enter the memory controller, and need credits for an entry in this buffer before being sent from the HA to the iMC.  They deallocate after the CAS command has been issued to memory.  This filter is to be used in conjunction with the occupancy filter so that one can correctly track the average occupancies for schedulable entries and scheduled requests"
unc_m_rpq_inserts,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x10/,,Read Pending Queue Allocations. Unit: uncore_imc ,"Counts the number of allocations into the Read Pending Queue.  This queue is used to schedule reads out to the memory controller and to track the requests.  Requests allocate into the RPQ soon after they enter the memory controller, and need credits for an entry in this buffer before being sent from the HA to the iMC.  They deallocate after the CAS command has been issued to memory.  This includes both ISOCH and non-ISOCH requests"
unc_m_vmse_mxb_wr_occupancy,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x91/,,VMSE MXB write buffer occupancy. Unit: uncore_imc ,VMSE MXB write buffer occupancy. Unit: uncore_imc 
unc_m_vmse_wr_push.rmm,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0x90,umask=0x2/",,VMSE WR PUSH issued; VMSE write PUSH issued in RMM. Unit: uncore_imc ,VMSE WR PUSH issued; VMSE write PUSH issued in RMM. Unit: uncore_imc 
unc_m_vmse_wr_push.wmm,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0x90,umask=0x1/",,VMSE WR PUSH issued; VMSE write PUSH issued in WMM. Unit: uncore_imc ,VMSE WR PUSH issued; VMSE write PUSH issued in WMM. Unit: uncore_imc 
unc_m_wmm_to_rmm.low_thresh,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xc0,umask=0x1/",,Transition from WMM to RMM because of low threshold; Transition from WMM to RMM because of starve counter. Unit: uncore_imc ,Transition from WMM to RMM because of low threshold; Transition from WMM to RMM because of starve counter. Unit: uncore_imc 
unc_m_wmm_to_rmm.starve,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xc0,umask=0x2/",,Transition from WMM to RMM because of low threshold. Unit: uncore_imc ,Transition from WMM to RMM because of low threshold. Unit: uncore_imc 
unc_m_wmm_to_rmm.vmse_retry,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xc0,umask=0x4/",,Transition from WMM to RMM because of low threshold. Unit: uncore_imc ,Transition from WMM to RMM because of low threshold. Unit: uncore_imc 
unc_m_wpq_cycles_full,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x22/,,Write Pending Queue Full Cycles. Unit: uncore_imc ,"Counts the number of cycles when the Write Pending Queue is full.  When the WPQ is full, the HA will not be able to issue any additional read requests into the iMC.  This count should be similar count in the HA which tracks the number of cycles that the HA has no WPQ credits, just somewhat smaller to account for the credit return overhead"
unc_m_wpq_cycles_ne,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x21/,,Write Pending Queue Not Empty. Unit: uncore_imc ,"Counts the number of cycles that the Write Pending Queue is not empty.  This can then be used to calculate the average queue occupancy (in conjunction with the WPQ Occupancy Accumulation count).  The WPQ is used to schedule write out to the memory controller and to track the writes.  Requests allocate into the WPQ soon after they enter the memory controller, and need credits for an entry in this buffer before being sent from the HA to the iMC.  They deallocate after being issued to DRAM.  Write requests themselves are able to complete (from the perspective of the rest of the system) as soon they have posted to the iMC.  This is not to be confused with actually performing the write to DRAM.  Therefore, the average latency for this queue is actually not useful for deconstruction intermediate write latencies"
unc_m_wpq_read_hit,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x23/,,Write Pending Queue CAM Match. Unit: uncore_imc ,"Counts the number of times a request hits in the WPQ (write-pending queue).  The iMC allows writes and reads to pass up other writes to different addresses.  Before a read or a write is issued, it will first CAM the WPQ to see if there is a write pending to that address.  When reads hit, they are able to directly pull their data from the WPQ instead of going to memory.  Writes that hit will overwrite the existing data.  Partial writes that hit will not need to do underfill reads and will simply update their relevant sections"
unc_m_wpq_write_hit,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0x24/,,Write Pending Queue CAM Match. Unit: uncore_imc ,"Counts the number of times a request hits in the WPQ (write-pending queue).  The iMC allows writes and reads to pass up other writes to different addresses.  Before a read or a write is issued, it will first CAM the WPQ to see if there is a write pending to that address.  When reads hit, they are able to directly pull their data from the WPQ instead of going to memory.  Writes that hit will overwrite the existing data.  Partial writes that hit will not need to do underfill reads and will simply update their relevant sections"
unc_m_wr_cas_rank0.allbanks,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x10/",,WR_CAS Access to Rank 0; All Banks. Unit: uncore_imc ,WR_CAS Access to Rank 0 : All Banks
unc_m_wr_cas_rank0.bank0,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0xb8/,,WR_CAS Access to Rank 0; Bank 0. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 0
unc_m_wr_cas_rank0.bank1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x1/",,WR_CAS Access to Rank 0; Bank 1. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 1
unc_m_wr_cas_rank0.bank10,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0xa/",,WR_CAS Access to Rank 0; Bank 10. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 10
unc_m_wr_cas_rank0.bank11,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0xb/",,WR_CAS Access to Rank 0; Bank 11. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 11
unc_m_wr_cas_rank0.bank12,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0xc/",,WR_CAS Access to Rank 0; Bank 12. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 12
unc_m_wr_cas_rank0.bank13,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0xd/",,WR_CAS Access to Rank 0; Bank 13. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 13
unc_m_wr_cas_rank0.bank14,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0xe/",,WR_CAS Access to Rank 0; Bank 14. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 14
unc_m_wr_cas_rank0.bank15,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0xf/",,WR_CAS Access to Rank 0; Bank 15. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 15
unc_m_wr_cas_rank0.bank2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x2/",,WR_CAS Access to Rank 0; Bank 2. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 2
unc_m_wr_cas_rank0.bank3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x3/",,WR_CAS Access to Rank 0; Bank 3. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 3
unc_m_wr_cas_rank0.bank4,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x4/",,WR_CAS Access to Rank 0; Bank 4. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 4
unc_m_wr_cas_rank0.bank5,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x5/",,WR_CAS Access to Rank 0; Bank 5. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 5
unc_m_wr_cas_rank0.bank6,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x6/",,WR_CAS Access to Rank 0; Bank 6. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 6
unc_m_wr_cas_rank0.bank7,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x7/",,WR_CAS Access to Rank 0; Bank 7. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 7
unc_m_wr_cas_rank0.bank8,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x8/",,WR_CAS Access to Rank 0; Bank 8. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 8
unc_m_wr_cas_rank0.bank9,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x9/",,WR_CAS Access to Rank 0; Bank 9. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 9
unc_m_wr_cas_rank0.bankg0,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x11/",,WR_CAS Access to Rank 0; Bank Group 0 (Banks 0-3). Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank Group 0 (Banks 0-3)
unc_m_wr_cas_rank0.bankg1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x12/",,WR_CAS Access to Rank 0; Bank Group 1 (Banks 4-7). Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank Group 1 (Banks 4-7)
unc_m_wr_cas_rank0.bankg2,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x13/",,WR_CAS Access to Rank 0; Bank Group 2 (Banks 8-11). Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank Group 2 (Banks 8-11)
unc_m_wr_cas_rank0.bankg3,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb8,umask=0x14/",,WR_CAS Access to Rank 0; Bank Group 3 (Banks 12-15). Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank Group 3 (Banks 12-15)
unc_m_wr_cas_rank1.allbanks,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb9,umask=0x10/",,WR_CAS Access to Rank 1; All Banks. Unit: uncore_imc ,WR_CAS Access to Rank 0 : All Banks
unc_m_wr_cas_rank1.bank0,,Kernel PMU event,uncore_imc,uncore memory,uncore_imc/event=0xb9/,,WR_CAS Access to Rank 1; Bank 0. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 0
unc_m_wr_cas_rank1.bank1,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb9,umask=0x1/",,WR_CAS Access to Rank 1; Bank 1. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 1
unc_m_wr_cas_rank1.bank10,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb9,umask=0xa/",,WR_CAS Access to Rank 1; Bank 10. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 10
unc_m_wr_cas_rank1.bank11,,Kernel PMU event,uncore_imc,uncore memory,"uncore_imc/event=0xb9,umask=0xb/",,WR_CAS Access to Rank 1; Bank 11. Unit: uncore_imc ,WR_CAS Access to Rank 0 : Bank 11
